id, sensorName, value, error
f50e5fae-9b0e-4a89-a53c-6dcf97e9d0b2, cheesy-lemon, 51.25, 0
037fa70d-5c95-4272-a6d7-ee87fad47cd0, nuclear-electron, 62.83, 1
212e9ab9-02d8-45fa-ab5e-c928ce18a9f5, wan-vendor, 51.79, 0
9df924cf-c0c5-4a07-b568-bc714ab106f7, electric-liqueur, 54.49, 0
0e4502bf-dc7f-4ab4-9998-48eea8092bcf, young-jay, 50.21, 0
8574714a-a5c0-418c-9686-f80496530eb2, other-secant, 8.62, 1
fba11ad7-5327-4d56-a2c4-765fa450449d, lenient-perch, 53.46, 0
d185f85c-5e72-40ec-a223-bfd6707e4d69, full-squib, 47.76, 0
093f05dd-43b8-41c4-a417-c39361fda9db, staccato-narrows, 44.89, 0
6913dbf3-2b65-4e5d-b8b3-68a76627181f, tender-fox, 52.72, 0
8ac88974-7b18-4993-9fc5-e0d63b9a84b4, pointed-frame, 74.42, 1
fc62e555-b3b8-418e-ab64-41b2ba1e857f, buttery-louver, 58.72, 0
9d3bead6-8dd5-4a03-83c5-4613955f6e65, isometric-ton, 66.01, 1
ce96b624-3a6c-40d6-ac88-cfaa8482f02b, cool-plate, 55.15, 0
56636883-32fd-4b23-9b3f-202655431cbd, happy-pole, 7.11, 1
4d0cd1db-7cd5-4e6f-b5da-e7dfd80b3547, muffled-cricket, 42.82, 0
d5708958-f6db-4c8f-a668-419f0e4d73a2, hot-heather, 58.53, 0
6cc667b1-2916-4cd4-91ee-31658554fb28, national-repo, 50.69, 0
87375f7b-f35c-45d9-845b-d6da66b62844, some-payment, 55.71, 0
a2c4a061-8020-4c57-8e9d-0e52b8ad5448, clever-rank, 53.93, 0
df518994-cc98-4ce8-9202-2a91b1e09d3e, feldspar-originator, 59.07, 1
fa51b002-a7ea-4086-a06f-47e4418cee51, helpful-spec, 26.26, 1
b9430c93-76c7-4ad7-81dd-e78eb87e3494, regular-margin, 56.64, 0
8a866a7c-880b-47a8-adca-fe78f4e4022b, loyal-sub, 57.54, 1
a642dd88-ca31-46cf-9783-d5aa5f3de676, linear-pause, 21.77, 1
6fa78a3d-3f73-42a5-a751-dfa98e272f8d, generous-owl, 54.3, 0
3ac73d5e-5319-4c29-a133-5c44a6f5860a, rounded-consultant, 50.19, 0
3859db4e-0bbf-4e4e-b93b-78dcb1cd665c, olive-garden, 44.55, 0
a1ef274b-a5d2-4c82-aac6-58583f17e5d0, vicious-canteen, 76.65, 1
c0947efb-411d-4c22-b6c4-113baba66a53, wise-wood, 57.7, 0
3b9a614c-b1e2-46db-ae28-68aeef9571d0, absolute-report, 41.27, 0
42633a24-171d-4699-aa83-ab6c1134297e, independent-bingo, 56.55, 0
a01ee390-0ae1-4b08-867d-6342cb7f710b, dry-set, 45.66, 0
b13bfe34-79e4-4bac-be24-d4706659c18f, black-bookcase, 63.71, 1
02358727-772c-47f4-bf10-fbfa055e36d3, uniform-molding, 92.0, 1
960143e1-7daf-43a6-a4dc-eacbb88ade84, golden-orchestrator, 57.53, 0
6b1bfc52-ffcc-460d-ab64-fd653d343356, fundamental-distance, 57.58, 0
ce31033e-5190-4e88-9500-20ec2c94fba8, great-isotope, 64.58, 1
a2e9e243-a240-4c16-b009-bed22e80db4c, pureed-channel, 45.94, 0
cfd24670-8b5b-4f00-897f-97375f1a680b, cobalt-envelope, 73.1, 1
e5858cfb-5992-4d1c-a2db-016d026e4016, amortized-poodle, 0.18, 1
46837e2a-b4de-465c-842c-b68ae21dd261, kind-gauge, 46.1, 0
8ca6ac50-7a3c-4b44-8587-a393cfa2cc43, gold-tartar, 54.15, 0
83353596-1c71-4c0c-91f8-c79b4067eaa2, exponential-sitrep, 42.92, 0
cc497471-6e39-45be-95cb-c356439531fe, inclusive-boom, 49.94, 0
ea5ec448-2ee4-4d2d-aaf8-12a53323a3b0, ragged-infield, 55.17, 0
825c9969-c894-4740-947a-d0c059f6371f, coffee-force, 94.56, 1
16806760-735c-4171-a320-1c5b40ef59c7, hidden-bat, 7.78, 1
f5826cd6-c959-4497-9ace-93a9c27da4e2, regular-story, 60.11, 1
b2692cc9-7b81-4534-9a71-9247410ad5c0, chill-energy, 93.14, 1
41f37254-532a-4456-8bc9-9e2b0666e357, foggy-cougar, 45.02, 0
ca38d95e-4ab6-4897-8f43-d3853c60c73e, crimson-parameter, 41.41, 0
9d7ea02d-7662-467d-b576-1450eff874a3, maroon-bengal, 55.92, 0
2aa68092-ec69-4437-be4b-1b2f5cc05792, bright-trie, 58.27, 0
65fb3895-b899-4281-8e1b-75d269f78a81, trite-barrage, 48.25, 0
dcd80af1-27f2-44bb-9f87-724f81587a9a, quiet-triathlon, 46.71, 0
e68891c4-1502-4bab-b314-cd1d71ce01ca, creative-bulwark, 48.71, 0
5564259a-11a0-4abe-b4f3-0cce73916d87, nimble-viaduct, 47.76, 0
6fcd320a-d88e-4d87-b471-fc1a0a712107, clear-patch, 50.55, 0
8cf99469-9386-4151-b561-eae3f85a90c3, absolute-cover, 1.89, 1
cfddb52b-223b-4ea2-988d-a884d92a76c8, chromatic-record, 45.09, 0
87350b98-c1f2-4db4-b2ff-c403a8ec2787, brutal-dividend, 58.63, 0
666f4c88-81e4-46d0-92fb-472e345fc7ed, level-biped, 44.49, 0
2a8a6452-04f5-4b84-b678-28f03e4ae2fd, savory-landfall, 77.95, 1
151be622-bb4e-4499-a528-76a857f65084, flavorful-wax, 48.84, 0
87e23c4c-58ad-4675-a434-8cfe0f039803, pleasant-fjord, 6.89, 1
055be04a-7773-4d15-b191-1100e7877328, wood-suv, 83.97, 1
f54bc309-895e-4d6b-9269-7677d754265f, juvenile-suffix, 42.25, 0
e85329ca-ffbf-4e4f-b800-eb165ffd30b9, factorial-editor, 50.98, 0
19401a33-286a-441d-8b11-9d4826553414, latent-corona, 53.33, 0
