id, sensorName, value, error
53c23d1f-0f16-4cc5-a4da-ab71c470dca4, arid-joint, 1132.53, 1
cb95bfe9-3110-482e-8b40-6d8787c76641, soft-sphere, 664.13, 0
23c8b206-69bc-4184-bcfb-019f195faf36, another-render, 1380.31, 1
b03366a9-45fa-4022-8f80-7a44d64dea0c, concrete-buck, 213.49, 1
8bcfb2d8-fd86-461b-ac23-79dfc6e23f50, old-character, 694.98, 0
be73efcf-c9f7-46ba-b2aa-056cbf730ffb, pure-python, 529.91, 1
907c1020-abd3-418c-b29a-daeeb2122113, warm-fractal, 170.53, 1
019690d4-9802-4401-9ca0-dd719460743b, tender-hardball, 556.43, 0
df9779d3-98ea-4988-88ea-564963882e1c, emerald-cadet, 1077.38, 1
1d2680d1-78d2-482f-931b-5d0a53e2dfa8, wintry-model, 364.21, 1
6f89d05e-31f2-4ea6-96d7-37db71ec93ac, grim-denotation, 898.13, 0
3171a64d-0673-4cb4-8701-557f46b79ca1, lazy-spring, 969.88, 0
82ec0533-4755-4dd4-b556-c13014df25c8, sunny-accident, 400.52, 1
6a1a07a4-897e-456f-bcbf-b22189ee718d, express-watchtower, 918.58, 0
dc3f8a95-63ff-4356-a4dc-d168161c0de1, weathered-swallow, 1168.0, 1
4512a5bf-265c-49c2-a0c9-1c9812e7480a, round-demon, 906.96, 0
0a964273-edcc-4c76-bd99-eec23d21c182, careful-ocean, 598.38, 0
5609bd84-1132-450f-b49b-c7aff506fadb, frosty-crumble, 224.78, 1
00d4c1a8-e839-4a5b-8c29-dacf62aeac98, patient-pod, 144.88, 1
2d6b8311-66cb-48eb-bf18-f390233441e3, active-surface, 903.33, 0
23f410e8-99e7-4ae3-b5fa-a27c1c02d6f4, shabby-clique, 1292.66, 1
d51f2560-1836-408f-adf5-faab7e9619a3, ordered-blowfish, 1454.7, 1
4ac6d5b8-ddc4-4a42-8871-e5d309632d8b, molten-burrito, 1342.13, 1
e214ebf4-8fd1-4640-9de3-07cdf07f83e9, few-radiation, 876.01, 0
2c7f306c-67c5-4ee2-9888-668474235f4c, national-gutter, 1293.64, 1
ff0ba6a5-aa95-4598-b6c6-64d23041f882, brute-force-filter, 1490.44, 1
d6fce1e7-f7cc-465b-a813-2633c7dee2d8, immature-draft, 556.01, 0
e6ab4646-0484-46e4-aa3f-8f0077e31809, complicated-oboe, 926.1, 0
0f647a1f-9eb0-4a4b-80aa-4f3c630efce0, exhaustive-buck, 1313.32, 1
f85d22ab-bc6e-4cce-b0b9-93f26fd4128b, objective-angle, 286.02, 1
96f85de8-79ac-4187-b7f2-fabde225a900, fuchsia-set, 1054.84, 1
8e5d909d-a263-4707-a7b9-f67b8d42e5c8, coplanar-boa, 762.89, 0
09670c6a-462c-4b17-a8f5-ad9d884bec7b, vicious-vignette, 1195.23, 1
b228aa29-15eb-48fe-9983-6ff4ba09bee1, radiant-tail, 629.28, 0
f98ef8ff-2360-41cd-b79a-346503e397f1, amber-courtyard, 685.36, 0
f180346b-4d01-471e-b0fb-af9cd879996b, strong-dune, 844.77, 0
7d278338-7f39-4adb-bbf3-d15654d73c7a, meek-board, 709.56, 0
effd658b-bb02-4c7c-b725-69f1f6c66d3c, great-roof, 938.01, 0
731da6b5-d93e-4720-a5a2-99392b925cfd, deterministic-father, 795.06, 0
58ece68d-a244-490c-afbc-bf9e8871d9f3, plain-meter, 524.57, 0
c3ac328c-4758-4f81-94f7-7761e4feb65f, grating-formation, 978.28, 0
9bfd7691-f14b-4b92-b0cc-9201a859013d, sad-clip, 576.83, 0
4480fb3a-39ba-483c-88f1-83e5e0975780, genteel-console, 1467.55, 1
89c090a4-d02d-4b3a-97c2-87ae164c5396, fermented-fluid, 1108.61, 1
2ea4d0da-483d-4654-9f1b-ca462da6b3fe, courtly-pilaster, 1470.33, 1
d4e7da44-f066-4203-b9a7-f7f73d4e34bc, several-spook, 1171.08, 1
2cb435e9-c8b8-4434-a56a-0b7bf7be49f8, glass-claret, 974.95, 0
83e73cce-5e64-48cd-98be-14025076082c, blaring-darby, 548.22, 0
66aef852-5c05-4a13-ad73-be2fa793a007, natural-freighter, 917.5, 0
9ec80085-e98c-485b-a6bf-4c5364104002, scalding-architecture, 544.97, 0
69d67e89-55d1-4eff-891b-8637aad903cf, flat-lacrosse, 1110.8, 1
3d067cf8-7246-48d8-ab1c-5e79b62494d6, animato-resonance, 195.58, 1
794fd7af-c2c5-4ca6-a638-1927d40737b4, coffee-radial, 1080.98, 1
a9ebd88e-770c-43b6-8e61-25f7fcd5ba99, asymptotic-bow, 1498.92, 1
088305c5-c3c8-4369-94e9-53f967afe5d1, warm-chord, 214.79, 1
e0755981-8e55-489a-a337-13921a58cd99, blended-muntin, 539.85, 0
42e5ab99-1be1-47a6-a6a8-2818ae5278da, convex-trie, 918.37, 0
9cb24a34-82ab-4ca3-bed7-e813884fea04, orthogonal-span, 545.64, 0
84955ef1-804e-4d58-ac64-d4e9d2e5f62d, gentle-raisin, 672.63, 0
82b32526-7644-48da-afc0-4b75aea4e27c, spatial-specular, 1311.9, 1
c9566442-283f-4436-be2c-5c1aa76e9b83, vain-stud, 584.09, 0
0e6e7aad-a5f6-424c-9168-7bd8e1454c24, hasty-column, 596.12, 0
91bfbc14-f2c8-42f4-b6a7-aecf0dd537bb, every-photon, 46.26, 1
d0ab06f1-492f-4743-8efe-5ed187522f6c, cold-content, 496.47, 1
c65c0938-370d-454f-9fb4-36b26c9fd98c, direct-pesto, 1278.67, 1
