id, sensorName, value, error
26ba8e01-5fa1-4b7c-8183-4fcfc20f1399, ripe-points, 80.5, 1
fdbb22df-2237-4e28-964a-10fe9d3fc8b4, blaring-headset, -5.2, 1
0a9ce05c-e29c-4fa3-b248-cfaf6929244f, greedy-concourse, 63.88, 1
e8aa3343-5ffb-4751-9353-9626942da347, offline-stage, 33.55, 0
cdbba396-c4f3-41c6-ad64-67ede8eb96c5, isomorphic-expertise, 16.1, 0
b3243f54-9dde-44be-866b-ec5ab3792a82, contemporary-byte, 110.6, 1
ca183b30-b9a5-45d0-8fb6-e03d670c0649, eager-dog, 15.63, 0
65fe61dc-0d55-4e56-b2e3-d29a3d7d5166, red-spook, 38.77, 0
9836d0d1-21d8-42d9-9bdb-cfc63df3ce36, vivid-interval, 96.95, 1
246cad6e-c3c4-47b2-8cca-232f641358e8, weighted-seller, 32.32, 0
963af1c6-264c-477b-b78f-c4cc8e5ac27a, senile-actor, 5.58, 0
52cda4bf-d78c-4df3-8308-dc5ce5a1beb5, best-lifer, 42.68, 0
c46dfc66-1e43-49f9-a1ca-297d452d63dd, milky-deal, 97.56, 1
1a7ff4af-da92-4d54-9cac-060d1d3aa044, adaptive-helo, 26.17, 0
1fdafea6-878b-4c6d-874f-88c7d125434a, sweet-pulse, 50.39, 0
4d5dd247-9bb6-423b-a45b-de2fe8ddc2f1, little-skyscraper, 4.62, 0
90962d65-72d6-4730-84f8-d02c030ff11e, balanced-band, 66.83, 0
7dd0e530-a6dd-449b-a216-e79f4f58e654, square-attenuation, 69.37, 0
a09b1e16-c0d8-4dbf-ad15-5874b2e881e4, mean-distortion, -11.71, 1
6e082e25-9ab2-4969-8018-4f4df82f4c71, scared-cume, 20.78, 0
5879d277-beaf-4241-bab6-43930c4c256d, grim-normal, 83.3, 1
28eadc5e-c96f-4215-80a8-62803df8f4f6, asphalt-goldbricker, 102.25, 1
fff644c5-8381-41d3-87b1-5629ce7f5ea8, charitable-console, 69.92, 1
3419ee97-46c1-46bd-9879-5de9edf1ee1d, weathered-bush, 100.46, 1
d56ff37f-743d-4dc9-9b47-a55a217660fb, generous-margin, 84.93, 1
04a87a5a-8139-41c3-b0c9-6f8144e87e9a, chilly-dragster, 116.94, 1
eb64ec17-0534-4755-af1f-06449b2ed57d, baked-joint, 15.11, 0
a289e725-b556-4af9-be5b-957667731629, quadratic-model, 7.61, 0
51b78c9e-7e4f-410d-abd3-f4463cd2ddf2, dichotomic-bevel, 17.17, 0
e46ac6b8-1db8-4da5-8823-a0d8fe50908b, solid-bankruptcy, 16.46, 0
c1c64663-e5c8-4786-9018-f560ea642f65, faded-boom, 97.65, 1
47ab3dea-4e6b-41b6-a0f6-8cf92b2171c9, quiet-mask, 25.57, 0
97549969-f5df-4620-b212-271a48abaa0a, horizontal-ghost, 101.36, 1
961facf4-2f38-4421-9673-ec70f8b51ecc, shiny-embassy, 63.28, 0
82d32f4a-7596-46f9-9409-a45d719972ed, sienna-starling, 57.89, 0
8a36383b-c252-4cda-afa2-ceb9c291945b, stale-deposition, 119.32, 1
99d0f523-e404-4b53-9af0-f979b2740586, persistent-sap, 43.19, 0
2f3a4023-68a4-47de-8113-08314b351c12, citron-chain, 66.42, 0
588b2b36-f939-467b-a01f-b7b382d0cfee, sticky-trap, 9.07, 0
7f2b78de-4bae-4031-a2a5-e7380d3556e9, coffee-ambiance, 27.77, 0
ab26b8b4-b7c1-4368-8426-275205d0ad38, humongous-reef, -5.42, 1
66d47a3e-add0-4da0-ba5d-0b6e2e7db184, ambitious-arrowroot, 37.61, 0
4c580aad-63c5-4ad4-9009-56407ba73785, old-squircle, 1.52, 0
0acf0ca1-d251-4f6f-8e21-ec918123d802, loyal-sparrow, 87.97, 1
f72b3e7c-9cd2-4a3c-9784-b844534efa49, adagio-content, 64.9, 0
e9b9c543-73be-4b3c-9772-4eb517194060, frigid-cheese, 61.06, 0
2f8435b3-0809-4193-8e5b-3d049c86e80e, all-shark, 103.12, 1
4aff47f1-b081-4650-80c2-7abd967e0409, stringy-davit, 12.49, 0
742587eb-8139-4feb-93f0-36310485be69, deafening-bulb, 119.28, 1
47774c9c-d3cf-4852-ae5e-c99e13b3bf5f, aquamarine-abbey, 102.19, 1
0f1e39e9-3907-48a0-aa23-7411fcd07eea, caramelized-sport, 32.77, 0
95f1ffca-1688-4d04-b077-93cf502ac408, solid-silo, 14.85, 0
c42e0593-68df-4796-8279-92c961fb5288, bronze-cilantro, 67.78, 0
fd58df58-b9c8-4bc6-aebd-15704893a61c, crabby-shim, 13.02, 0
95fc95ba-7064-4adf-9638-827a6f693f51, acoustic-alloy, 63.78, 0
